Periodos,S11,S21,S22,S23,S31-S33,S43,S46,S48-S49-S51,S52-S53,S54-S55-S56,S61-S62,S71-S81,S72,S93
2001/12,83.14470698,108.9962299,60.43454259,78.14401224,86.76406606,65.5561599,78.30644991,69.01635202,63.86554294,79.25042046,86.7419461,79.32656007,96.22464388,85.239556
2002/01,81.99721822,106.2932838,56.71405609,74.37167396,86.71995605,63.19776468,75.72190844,68.028737,63.94526582,78.53151217,87.14543447,79.74672855,96.12754733,84.79614016
2002/02,82.08738158,106.0115356,57.16696628,74.26860361,86.34077642,65.52000762,78.53884565,69.16310943,64.08275976,78.32102212,86.31211337,79.81479451,94.70192423,85.2706613
2002/03,81.93994902,104.1993979,57.00263972,70.58057429,87.47615009,67.09577347,80.08930621,69.248453,64.62545366,80.26080292,88.61888586,79.50016754,95.67679047,85.22206226
2002/04,84.10513051,105.7597291,57.42152835,74.36092961,87.57442282,67.60054981,81.88150423,70.33695744,64.00047165,78.31195657,86.2966613,80.19811443,95.78747233,85.53615731
2002/05,83.56172766,105.8187818,58.50740271,75.36273666,86.28301472,67.84740184,81.80205678,70.49112872,64.5041287,79.47279158,86.87680289,80.49562075,94.94665319,85.88644479
2002/06,81.11699956,105.6782926,58.06571031,74.28454409,86.92917927,67.40761073,80.95925745,70.24134024,64.84111522,79.51190418,86.87961635,80.28658808,95.13103373,85.81929299
2002/07,83.83576393,104.8786494,58.30003582,75.18113815,87.05617099,67.74604449,82.04849756,69.46123889,65.09967377,79.85991258,86.78390219,80.24520482,94.67946052,85.96700453
2002/08,85.98361373,106.4295262,58.15598173,76.27171724,87.35320447,67.96213885,82.14782617,70.13614332,65.2312845,80.14714503,86.8189142,81.12886351,94.68780472,85.8514585
2002/09,84.0841446,105.5506287,58.7168301,77.61297808,87.31871893,67.69781758,81.75493578,70.13730618,65.3606883,80.1434133,86.71983427,79.94286093,94.33941671,86.03567717
